HHTYPE,ADULT,WORKER,CHILD,INCOME,AGE_INDEX
450,4,1,2.0,1.0,3.0
451,2,2,2.0,1.0,3.0
452,3,2,2.0,1.0,3.0
453,4,2,2.0,1.0,3.0
454,3,3,2.0,1.0,3.0
455,4,3,2.0,1.0,3.0
456,1,0,3.0,1.0,3.0
457,2,0,3.0,1.0,3.0
458,3,0,3.0,1.0,3.0
459,4,0,3.0,1.0,3.0
460,1,1,3.0,1.0,3.0
461,2,1,3.0,1.0,3.0
462,3,1,3.0,1.0,3.0
463,4,1,3.0,1.0,3.0
464,2,2,3.0,1.0,3.0
465,3,2,3.0,1.0,3.0
466,4,2,3.0,1.0,3.0
467,3,3,3.0,1.0,3.0
468,4,3,3.0,1.0,3.0
469,1,0,0.0,2.0,3.0
470,2,0,0.0,2.0,3.0
471,3,0,0.0,2.0,3.0
472,4,0,0.0,2.0,3.0
473,1,1,0.0,2.0,3.0
474,2,1,0.0,2.0,3.0
475,3,1,0.0,2.0,3.0
476,4,1,0.0,2.0,3.0
477,2,2,0.0,2.0,3.0
478,3,2,0.0,2.0,3.0
479,4,2,0.0,2.0,3.0
480,3,3,0.0,2.0,3.0
481,4,3,0.0,2.0,3.0
482,1,0,1.0,2.0,3.0
483,2,0,1.0,2.0,3.0
484,3,0,1.0,2.0,3.0
485,4,0,1.0,2.0,3.0
486,1,1,1.0,2.0,3.0
487,2,1,1.0,2.0,3.0
488,3,1,1.0,2.0,3.0
489,4,1,1.0,2.0,3.0
490,2,2,1.0,2.0,3.0
491,3,2,1.0,2.0,3.0
492,4,2,1.0,2.0,3.0
493,3,3,1.0,2.0,3.0
494,4,3,1.0,2.0,3.0
495,1,0,2.0,2.0,3.0
496,2,0,2.0,2.0,3.0
497,3,0,2.0,2.0,3.0
498,4,0,2.0,2.0,3.0
499,1,1,2.0,2.0,3.0
500,2,1,2.0,2.0,3.0
501,3,1,2.0,2.0,3.0
502,4,1,2.0,2.0,3.0
503,2,2,2.0,2.0,3.0
504,3,2,2.0,2.0,3.0
505,4,2,2.0,2.0,3.0
506,3,3,2.0,2.0,3.0
507,4,3,2.0,2.0,3.0
508,1,0,3.0,2.0,3.0
509,2,0,3.0,2.0,3.0
510,3,0,3.0,2.0,3.0
511,4,0,3.0,2.0,3.0
512,1,1,3.0,2.0,3.0
513,2,1,3.0,2.0,3.0
514,3,1,3.0,2.0,3.0
515,4,1,3.0,2.0,3.0
516,2,2,3.0,2.0,3.0
517,3,2,3.0,2.0,3.0
518,4,2,3.0,2.0,3.0
519,3,3,3.0,2.0,3.0
520,4,3,3.0,2.0,3.0
521,1,0,0.0,3.0,3.0
522,2,0,0.0,3.0,3.0
523,3,0,0.0,3.0,3.0
524,4,0,0.0,3.0,3.0
525,1,1,0.0,3.0,3.0
526,2,1,0.0,3.0,3.0
527,3,1,0.0,3.0,3.0
528,4,1,0.0,3.0,3.0
529,2,2,0.0,3.0,3.0
530,3,2,0.0,3.0,3.0
531,4,2,0.0,3.0,3.0
532,3,3,0.0,3.0,3.0
533,4,3,0.0,3.0,3.0
534,1,0,1.0,3.0,3.0
535,2,0,1.0,3.0,3.0
536,3,0,1.0,3.0,3.0
537,4,0,1.0,3.0,3.0
538,1,1,1.0,3.0,3.0
539,2,1,1.0,3.0,3.0
540,3,1,1.0,3.0,3.0
541,4,1,1.0,3.0,3.0
542,2,2,1.0,3.0,3.0
543,3,2,1.0,3.0,3.0
544,4,2,1.0,3.0,3.0
545,3,3,1.0,3.0,3.0
546,4,3,1.0,3.0,3.0
547,1,0,2.0,3.0,3.0
548,2,0,2.0,3.0,3.0
549,3,0,2.0,3.0,3.0
550,4,0,2.0,3.0,3.0
551,1,1,2.0,3.0,3.0
