t matrices
d mo11
a matrix=mo11 sqmi 0 zcentroid sqmi
1270 all:0.254866
1271 all:0.255994
1272 all:0.255218
1273 all:0.255638
1274 all:1.019078
1275 all:0.25338
1276 all:0.254447
1277 all:0.254824
1278 all:0.253743
1279 all:0.25396
1280 all:0.253105
1281 all:0.253401
1282 all:0.254245
1283 all:0.935192
1284 all:1.018942
1285 all:0.254688
1286 all:0.255424
1287 all:0.255612
1288 all:0.254857
1289 all:0.254609
1290 all:0.254427
1291 all:0.254545
1292 all:0.254756
1293 all:1.018224
1294 all:1.015044
1295 all:0.944914
1296 all:1.017629
1297 all:1.021737
1298 all:1.016576
1299 all:1.011273
1300 all:0.251847
1301 all:0.252132
1302 all:0.251813
1303 all:0.251521
1304 all:0.9461
1305 all:1.019645
1306 all:0.254931
1307 all:0.25528
1308 all:0.256208
1309 all:0.253989
1310 all:1.01724
1311 all:1.012172
1312 all:1.008374
1313 all:0.249865
1314 all:0.276772
1315 all:0.251913
1316 all:0.287861
1317 all:0.274652
1318 all:0.25502
1319 all:0.275562
1320 all:0.253037
1321 all:0.253044
1322 all:0.255513
1323 all:0.251186
1324 all:0.254569
1325 all:0.253772
1326 all:0.273837
1327 all:0.25116
1328 all:0.273555
1329 all:0.274578
1330 all:0.252433
1331 all:0.252441
1332 all:0.274299
1333 all:1.023936
1334 all:0.255515
1335 all:0.253817
1336 all:0.254097
1337 all:0.25521
1338 all:0.269144
1339 all:0.272477
1340 all:0.252568
1341 all:0.252558
1342 all:0.255466
1343 all:0.255872
1344 all:0.25555
1345 all:0.255154
1346 all:0.257043
1347 all:0.256752
1348 all:0.25781
1349 all:0.257505
1350 all:0.251095
1351 all:0.266603
1352 all:0.251107
1353 all:0.265696
1354 all:0.254024
1355 all:0.253737
1356 all:0.254011
1357 all:0.253743
1358 all:0.256086
1359 all:0.255603
1360 all:0.255231
1361 all:0.256464
1362 all:0.998283
1363 all:1.002896
1364 all:0.265935
1365 all:0.254668
1366 all:0.254676
1367 all:0.262245
1368 all:1.036052
1369 all:0.266107
1370 all:0.250534
1371 all:0.250559
1372 all:0.264942
1373 all:0.975917
1374 all:0.997802
1375 all:1.004076
1376 all:0.256153
1377 all:0.256311
1378 all:0.255973
1379 all:0.256139
1380 all:1.010402
1381 all:0.974984
1382 all:0.977892
1383 all:1.001535
1384 all:1.006307
1385 all:1.021094
1386 all:0.989541
1387 all:0.982547
1388 all:0.253528
1389 all:0.253667
1390 all:0.2536
1391 all:0.253736
1392 all:1.001015
1393 all:0.252869
1394 all:0.254701
1395 all:0.254965
1396 all:0.253119
1397 all:1.022208
1398 all:0.960832
1399 all:1.002071
1400 all:1.009822
1401 all:0.999335
1402 all:0.991256
1403 all:0.984572
1404 all:0.992075
1405 all:1.018128
1406 all:1.013297
1407 all:1.009051
1408 all:0.989354
1409 all:1.009954
1410 all:0.99979
1411 all:1.014625
1412 all:0.25142
1413 all:0.250919
1414 all:0.251271
1415 all:0.251086
1416 all:1.039892
1417 all:1.013158
1418 all:0.254341
1419 all:0.253539
1420 all:1.010365
1421 all:0.254334
1422 all:0.258944
1423 all:0.251147
1424 all:0.250077
1425 all:0.250189
1426 all:0.259231
1427 all:0.253301
1428 all:0.253308
1429 all:0.258237
1430 all:0.25499
1431 all:0.256125
1432 all:0.255059
1433 all:0.25609
1434 all:0.25381
1435 all:0.252691
1436 all:0.25275
1437 all:0.253839
1438 all:1.011151
1439 all:1.013035
1440 all:1.007854
1441 all:1.978338
1442 all:2.283409
1443 all:4.779172
1444 all:3.963725
1445 all:4.038048
