  inode  jnode                  timau               result
    558  14609                   1.41                  1.41 
    559  14923                   1.68                  1.68 
    560  14767                   1.44                  1.44 
    561  14613                   1.08                  1.08 
    562  15111                   1.53                  1.53 
    563  15491                    1.5                   1.5 
    564  16079                    1.2                   1.2 
    565  16167                    .78                   .78 
    566  16169                   1.26                  1.26 
    567  15874                   1.53                  1.53 
    568  20057                    .87                   .87 
    569  16231                   1.38                  1.38 
    570  16166                    .99                   .99 
    571  16230                   1.38                  1.38 
    572  16278                   1.26                  1.26 
    573  18140                    .51                   .51 
    574  14766                   1.59                  1.59 
    575  15116                   1.56                  1.56 
    576  15513                   1.08                  1.08 
    577  15758                    .99                   .99 
    578  15335                     .9                    .9 
    579  20822                    .75                   .75 
    580  16148                    .72                   .72 
    581  15905                   1.17                  1.17 
    582  16102                   1.08                  1.08 
    583  16168                   1.56                  1.56 
    584  16288                   1.32                  1.32 
    585  16285                   1.47                  1.47 
    586  16233                   1.14                  1.14 
    587  23512                   1.23                  1.23 
    588  16438                    .48                   .48 
    589  16359                   1.56                  1.56 
    590  16284                    .27                   .27 
    591  16417                   1.35                  1.35 
    592  14781                   1.68                  1.68 
    593  14926                   1.38                  1.38 
    594  15134                   1.23                  1.23 
    595  15028                    .99                   .99 
    596  15345                   1.23                  1.23 
    597  15673                   1.59                  1.59 
    598  16100                   1.47                  1.47 
    599  16257                   1.02                  1.02 
    600  16179                    .93                   .93 
    601  16290                   1.35                  1.35 
    602  16213                    .75                   .75 
    603  16366                   1.23                  1.23 
    604  16358                   1.14                  1.14 
    605  16365                   1.77                  1.77 
    606  16367                   1.44                  1.44 
    607  14954                   1.71                  1.71 
    608  15136                    1.5                   1.5 
    609  15579                   1.23                  1.23 
    610  15358                   1.77                  1.77 
    611  15472                    .78                   .78 
    612  15891                   1.59                  1.59 
    613  23895                   1.29                  1.29 
    614  16109                    1.5                   1.5 
    615  16113                   1.56                  1.56 
    616  23891                   1.26                  1.26 
    617  16187                   1.26                  1.26 
    618  16294                   1.53                  1.53 
    619  16292                   1.44                  1.44 
    620  16188                   1.41                  1.41 
    621  16376                   1.62                  1.62 
    622  16496                   1.08                  1.08 
    623  16461                   1.14                  1.14 
    624  16435                   1.08                  1.08 
    625  16499                   1.08                  1.08 
    626  16497                   1.17                  1.17 
    627  16440                   1.47                  1.47 
    628  16437                   1.32                  1.32 
    629  19236                   1.05                  1.05 
    630  14201                    .78                   .78 
    631  14212                   2.16                  2.16 
    632  14656                   2.04                  2.04 
    633  14063                   1.56                  1.56 
    634  14211                   1.53                  1.53 
    635  14518                   2.28                  2.28 
    636  14953                   1.17                  1.17 
    637  17532                   1.02                  1.02 
    638  14855                   1.29                  1.29 
    639  14640                   1.08                  1.08 
    640  15147                   1.56                  1.56 
    641  15799                   1.11                  1.11 
    642  15356                   1.44                  1.44 
    643  15918                    1.5                   1.5 
    644  15518                   1.11                  1.11 
    645  16116                   2.16                  2.16 
    646  16307                   1.14                  1.14 
    647  16299                   1.11                  1.11 
    648  16247                   1.14                  1.14 
    649  16195                   1.44                  1.44 
    650  16390                   1.65                  1.65 
    651  14854                   1.83                  1.83 
    652  15177                   1.59                  1.59 
    653  15811                   1.89                  1.89 
    654  16178                   1.08                  1.08 
    655  16125                   1.29                  1.29 
    656  16031                   1.17                  1.17 
    657  16119                   1.29                  1.29 
    658  17042                     .9                    .9 
    659  16272                    .72                   .72 
    660  16249                     .9                    .9 
    661  16207                   1.59                  1.59 
    662  16389                    1.5                   1.5 
    663  16407                    .84                   .84 
    664  16458                   1.17                  1.17 
    665  16333                    .36                   .36 
    666  16313                   1.02                  1.02 
    667  14833                    1.2                   1.2 
    668  14964                   1.17                  1.17 
    669  14651                    1.2                   1.2 
    670  14661                   1.23                  1.23 
    671  15171                   1.65                  1.65 
    672  15834                   1.83                  1.83 
    673  16037                   1.14                  1.14 
    674  16030                    1.2                   1.2 
    675  16161                   1.17                  1.17 
    676  16154                   1.38                  1.38 
    677  17320                    .78                   .78 
    678  17943                   2.67                  2.67 
    679  12195                   1.17                  1.17 
